City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Bluefield,US,82.4,broken clouds,37.2698,-81.2223,Economy Inn
337,Asau,RO,76.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
338,Tanete,ID,73.08,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
339,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
343,Dongsheng,CN,76.82,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
344,Bossangoa,CF,72.77,moderate rain,6.4926,17.4552,LA PERLE DE BOSTON
346,Morris,US,88.79,broken clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
348,Conakry,GN,79.27,light rain,9.538,-13.6773,Riviera Royal Hotel
349,Hauterive,FR,88.56,few clouds,46.0901,3.4459,Aletti Palace Hotel
350,Octeville,FR,75.69,few clouds,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
355,Caslav,CZ,82.02,clear sky,49.911,15.3897,Catering Chotěboř s.r.o.
356,Lunenburg,CA,70.48,overcast clouds,44.3835,-64.3155,Lunenburg Arms Hotel
357,Yaounde,CM,72.3,scattered clouds,3.8667,11.5167,Hotel Mérina Yaoundé
359,Saint Anthony,US,87.15,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
360,Seguela,CI,79.02,overcast clouds,7.9611,-6.6731,Hotel le Carrefour
362,Half Moon Bay,US,81.14,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
364,Marsh Harbour,BS,83.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
366,Fayaoue,NC,77.38,moderate rain,-20.65,166.5333,Chez Dydyce Guesthouse
373,Mashhad,IR,80.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
375,Praya,CV,81.68,scattered clouds,14.9215,-23.5087,LT Aparthotel
376,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
377,Biak,ID,74.46,broken clouds,-0.9131,122.8766,Penginapan Kim
379,Chenghai,CN,81.48,overcast clouds,23.4632,116.768,Guangdong Hotel
382,Moroni,KM,76.01,clear sky,-11.7022,43.2551,Hotel Les Arcades
385,Honiara,SB,76.86,broken clouds,-9.4333,159.95,Heritage Park Hotel
387,Puerto Colombia,CO,81.57,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
388,Tarn Taran,IN,87.82,broken clouds,31.45,74.9253,Hotel Satkar
390,Formosa,AR,87.78,clear sky,-26.1775,-58.1781,Asterión Departamentos
391,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
392,Saltpond,GH,75.11,broken clouds,5.2091,-1.0606,Mfantseman Beach Resort
396,Shache,CN,85.71,overcast clouds,38.4167,77.2406,Delong Hotel
401,Kendari,ID,73.69,overcast clouds,-3.945,122.4989,Hotel Wixel
402,Joshimath,IN,71.51,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
403,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
405,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
406,Malanje,AO,81.46,few clouds,-9.5402,16.341,Hotel Ginga
408,Darhan,MN,72.23,overcast clouds,49.4867,105.9228,Buudai Hotel
413,Pontian Kecil,MY,79.81,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
414,Castrovillari,IT,86.29,few clouds,39.8203,16.2123,AliaJazz B&B-Locanda di Alia
417,Malakal,SS,70.0,overcast clouds,9.5334,31.6605,Nile Palace Hotel
418,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
419,Gerash,IR,94.15,scattered clouds,27.6652,54.1371,Sa'adat House Gerash
420,Nakusp,CA,75.47,few clouds,50.2499,-117.8023,Riders Retreat
421,Bani Walid,LY,88.79,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
422,Axim,GH,76.35,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
423,Kavaratti,IN,78.21,overcast clouds,10.5669,72.642,Green leaf
424,Vila,PT,86.7,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
425,Washougal,US,73.47,broken clouds,45.5826,-122.3534,Camas Boutique Hotel
426,Cariati,IT,84.94,clear sky,39.4922,16.9594,La Residenza
429,Itarema,BR,85.26,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
432,Socorro,US,94.37,broken clouds,31.6546,-106.3033,guarderia imss papalote
434,Zhuhai,CN,89.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
435,Fare,PF,78.48,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
436,Bintulu,MY,79.18,overcast clouds,3.1667,113.0333,900 Boutique INN
444,Westport,US,90.09,clear sky,41.1415,-73.3579,The Westport Inn
446,Cheney,US,79.25,few clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
452,Harper,LR,76.66,broken clouds,4.375,-7.7169,Screensaver
